StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,faculty
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced,Mechanical Engineering
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed,Mechanical Engineering
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced,Civil Engineering
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced,Computer Science
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced,Computer Science
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed,Mechanical Engineering
122,8.0,1,1,1,68,4.2,No,Yes,59,66,NotPlaced,Business Administration
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed,Business Administration
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced,Civil Engineering
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced,Computer Science
126,7.7,1,2,0,73,4.0,No,Yes,65,75,Placed,Computer Science
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced,Business Administration
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced,Business Administration
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced,Mechanical Engineering
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed,Computer Science
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed,Electrical Engineering
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced,Biotechnology
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed,Mechanical Engineering
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced,Computer Science
135,8.0,0,1,0,60,4.0,No,No,57,70,NotPlaced,Computer Science
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced,Civil Engineering
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed,Mechanical Engineering
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed,Business Administration
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced,Civil Engineering
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed,Computer Science
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced,Computer Science
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed,Mechanical Engineering
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed,Biotechnology
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced,Computer Science
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed,Computer Science
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed,Mechanical Engineering
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced,Electrical Engineering
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed,Computer Science
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced,Business Administration
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,NotPlaced,Civil Engineering
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed,Computer Science
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed,Mechanical Engineering
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed,Biotechnology
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed,Civil Engineering
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced,Business Administration
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed,Mechanical Engineering
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed,Computer Science
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced,Computer Science
159,7.8,0,1,1,72,4.0,No,No,61,69,NotPlaced,Electrical Engineering
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced,Computer Science
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced,Business Administration
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,NotPlaced,Computer Science
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced,Mechanical Engineering
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed,Computer Science
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed,Computer Science
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced,Mechanical Engineering
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced,Business Administration
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed,Biotechnology
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced,Business Administration
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced,Computer Science
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced,Mechanical Engineering
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced,Biotechnology
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced,Business Administration
174,8.0,1,1,1,78,4.4,No,No,66,68,NotPlaced,Computer Science
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed,Computer Science
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced,Business Administration
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced,Computer Science
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed,Computer Science
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced,Computer Science
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced,Mechanical Engineering
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed,Computer Science
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed,Computer Science
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced,Business Administration
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced,Computer Science
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced,Computer Science
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced,Computer Science
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced,Business Administration
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced,Civil Engineering
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced,Biotechnology
190,6.8,1,1,0,78,4.3,No,No,61,62,NotPlaced,Business Administration
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed,Mechanical Engineering
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed,Computer Science
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced,Business Administration
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed,Electrical Engineering
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced,Electrical Engineering
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced,Computer Science
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced,Mechanical Engineering
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed,Mechanical Engineering
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed,Biotechnology
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced,Computer Science
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed,Civil Engineering
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed,Biotechnology
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced,Biotechnology
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed,Computer Science
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed,Computer Science
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced,Mechanical Engineering
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced,Computer Science
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed,Computer Science
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed,Business Administration
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed,Civil Engineering
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced,Electrical Engineering
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced,Computer Science
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced,Business Administration
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced,Mechanical Engineering
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced,Computer Science
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced,Computer Science
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced,Civil Engineering
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced,Computer Science
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed,Computer Science
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed,Civil Engineering
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced,Computer Science
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed,Business Administration
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced,Mechanical Engineering
224,7.9,2,3,2,90,4.8,Yes,No,81,78,NotPlaced,Electrical Engineering
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed,Electrical Engineering
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced,Business Administration
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed,Computer Science
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed,Civil Engineering
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced,Computer Science
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed,Biotechnology
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced,Mechanical Engineering
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced,Civil Engineering
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced,Civil Engineering
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced,Computer Science
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced,Biotechnology
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,NotPlaced,Business Administration
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced,Computer Science
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced,Computer Science
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed,Electrical Engineering
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced,Civil Engineering
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced,Business Administration
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced,Electrical Engineering
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced,Computer Science
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced,Civil Engineering
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed,Business Administration
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced,Computer Science
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed,Computer Science
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced,Computer Science
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced,Mechanical Engineering
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced,Computer Science
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced,Computer Science
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced,Computer Science
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced,Mechanical Engineering
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed,Computer Science
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced,Electrical Engineering
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced,Computer Science
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed,Mechanical Engineering
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced,Biotechnology
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed,Electrical Engineering
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced,Computer Science
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced,Computer Science
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed,Electrical Engineering
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed,Computer Science
264,6.5,1,3,0,80,3.7,No,No,59,66,NotPlaced,Computer Science
265,7.4,1,1,0,88,4.5,No,Yes,76,71,Placed,Mechanical Engineering
266,8.2,2,3,2,80,4.8,Yes,Yes,79,84,Placed,Electrical Engineering
267,6.8,2,2,2,80,4.6,No,Yes,61,69,NotPlaced,Electrical Engineering
268,8.0,1,2,1,76,4.5,No,Yes,68,75,NotPlaced,Business Administration
269,8.5,1,3,0,82,4.4,Yes,Yes,68,88,Placed,Computer Science
270,6.6,1,2,1,65,4.1,No,No,56,58,NotPlaced,Computer Science
271,8.4,1,2,0,79,3.8,No,Yes,60,64,NotPlaced,Business Administration
272,7.8,1,1,1,79,3.7,No,Yes,56,59,NotPlaced,Civil Engineering
273,7.7,1,2,0,81,3.8,Yes,Yes,65,59,NotPlaced,Biotechnology
274,6.8,1,1,0,73,3.7,No,Yes,55,65,NotPlaced,Electrical Engineering
275,7.3,1,2,1,71,4.7,No,No,59,57,NotPlaced,Business Administration
276,6.5,2,2,2,79,4.5,Yes,Yes,83,87,Placed,Biotechnology
277,8.3,2,1,1,83,4.5,Yes,Yes,82,86,NotPlaced,Civil Engineering
278,7.3,1,2,1,79,3.8,No,Yes,58,73,NotPlaced,Electrical Engineering
279,6.8,1,2,1,65,3.9,Yes,Yes,71,85,Placed,Business Administration
280,8.7,1,3,2,90,4.8,Yes,Yes,69,88,Placed,Computer Science
281,8.3,2,3,1,90,4.8,Yes,No,55,80,Placed,Computer Science
282,8.2,1,2,1,79,3.8,Yes,Yes,55,70,NotPlaced,Computer Science
283,8.2,1,1,2,86,4.4,No,No,76,82,NotPlaced,Business Administration
284,8.5,0,2,0,81,3.2,No,Yes,55,63,NotPlaced,Civil Engineering
285,8.0,0,1,1,87,3.8,No,Yes,55,71,NotPlaced,Biotechnology
286,7.9,1,1,0,77,4.7,Yes,Yes,64,60,NotPlaced,Computer Science
287,7.7,1,1,2,82,4.4,No,No,55,70,NotPlaced,Computer Science
288,7.6,0,3,3,75,4.3,Yes,Yes,82,87,Placed,Computer Science
289,6.7,1,3,0,77,4.1,Yes,Yes,69,67,NotPlaced,Business Administration
290,8.5,0,2,2,75,4.5,Yes,No,76,83,Placed,Business Administration
291,8.8,1,2,2,90,4.8,Yes,No,75,88,Placed,Mechanical Engineering
292,6.5,2,3,1,82,4.6,Yes,No,83,63,NotPlaced,Civil Engineering
293,7.5,0,1,1,80,4.2,Yes,No,84,64,NotPlaced,Computer Science
294,7.7,2,3,2,78,4.6,Yes,Yes,78,83,NotPlaced,Mechanical Engineering
295,7.7,0,1,0,79,4.8,No,Yes,58,71,NotPlaced,Computer Science
296,8.6,1,1,2,84,4.3,Yes,Yes,57,82,Placed,Mechanical Engineering
297,7.5,0,2,0,69,3.6,No,No,61,59,NotPlaced,Mechanical Engineering
298,6.8,1,1,0,68,4.3,No,Yes,65,69,NotPlaced,Business Administration
299,8.1,0,3,2,90,4.8,Yes,Yes,69,84,NotPlaced,Mechanical Engineering
300,8.4,2,3,3,82,4.5,Yes,No,82,85,Placed,Electrical Engineering
301,7.5,1,1,0,67,3.4,No,No,65,71,NotPlaced,Computer Science
302,8.1,1,3,0,70,4.8,Yes,No,71,72,NotPlaced,Mechanical Engineering
303,7.4,1,1,1,64,4.0,No,No,55,62,NotPlaced,Mechanical Engineering
304,8.4,2,3,2,80,4.6,Yes,Yes,72,79,Placed,Computer Science
305,8.2,0,3,2,90,4.8,Yes,Yes,79,80,Placed,Electrical Engineering
306,8.0,1,2,1,80,4.3,No,Yes,71,61,NotPlaced,Electrical Engineering
307,7.9,0,3,2,90,4.8,Yes,Yes,68,83,Placed,Business Administration
308,6.8,0,1,0,77,3.3,No,No,64,69,NotPlaced,Computer Science
309,8.3,2,3,2,82,4.6,Yes,Yes,76,85,Placed,Biotechnology
310,7.4,1,2,1,75,4.3,No,Yes,55,85,NotPlaced,Business Administration
311,7.6,1,1,0,66,4.1,No,Yes,62,73,NotPlaced,Mechanical Engineering
312,8.5,2,3,1,90,4.8,Yes,Yes,78,82,NotPlaced,Electrical Engineering
313,8.2,2,3,2,90,4.6,Yes,Yes,77,88,Placed,Electrical Engineering
314,8.2,1,3,2,90,4.3,No,Yes,77,82,Placed,Computer Science
315,6.5,1,1,0,79,3.6,No,Yes,55,64,NotPlaced,Computer Science
316,7.5,1,1,2,82,4.5,Yes,Yes,77,84,Placed,Electrical Engineering
317,7.5,1,2,1,85,4.1,No,Yes,71,84,NotPlaced,Computer Science
318,6.6,0,1,1,67,4.3,No,Yes,56,65,NotPlaced,Computer Science
319,7.6,1,1,1,88,4.5,Yes,Yes,83,86,Placed,Electrical Engineering
320,7.5,1,1,1,81,4.5,Yes,Yes,64,68,NotPlaced,Computer Science
321,7.5,0,2,1,66,4.5,No,Yes,61,71,Placed,Business Administration
322,8.5,2,3,1,85,4.3,Yes,Yes,88,80,Placed,Mechanical Engineering
323,7.9,2,1,0,71,4.8,No,Yes,56,66,NotPlaced,Civil Engineering
324,8.2,0,2,0,85,4.1,Yes,No,57,70,NotPlaced,Electrical Engineering
325,7.2,1,2,0,69,4.0,No,Yes,55,61,NotPlaced,Business Administration
326,8.6,2,3,2,90,4.8,Yes,Yes,75,84,Placed,Computer Science
327,6.5,1,1,1,78,3.9,No,Yes,67,73,Placed,Mechanical Engineering
328,8.7,1,3,0,86,4.5,Yes,Yes,77,81,Placed,Business Administration
329,7.8,1,2,0,78,4.8,Yes,Yes,75,65,Placed,Mechanical Engineering
330,7.7,1,1,0,80,4.0,No,Yes,55,66,NotPlaced,Computer Science
331,6.5,0,2,0,80,4.6,Yes,Yes,62,86,Placed,Civil Engineering
332,8.5,1,2,1,71,3.8,Yes,Yes,78,69,NotPlaced,Mechanical Engineering
